STOCK
VPCO
PFIE
CRRS
MOBI
TXMD
ITMN
KCG
REE
REDF
BIOF
YELP
BONT
YRCW
JKS
FMCC
FNMA
ONVO
RAS
RTK
SOL
GSAT
IO
MTG
ZHNE
JMEI
NXST
BZH
JASO
MTW
TEX
RVLT
WNC
XON
KERX
GTN
FCH
AXLL
MCP
VAPE
ISS
URZ
UIS
LNG
CSIQ
PRLB
NQ
URRE
TEAR
USAT
VISN
CAR
OCLR
ODP
INO
YOKU
TROX
EGLE
USU
BC
VVTV
NWBO
MILL
FBP
TA
NXPI
GBX
HSOL
XOMA
MY
ZQK
EVC
CVGI
ARWR
TWTR
ARII
ACAT
NNBR
SWFT
URI
MEG
FSGI
SD
DRL
JMBA
EDMC
BORN
CMLS
YY
IVAN
ACAD
FEYE
SFXE
SGY
DNDN
TSL
ENTG
BPOP
PACB
USG
AMD
APP
GST
MTSN
RCL
MWW
KATE
SWC
FCEL
IDRA
MTL
LIN
ACLS
ANIK
FOE
SHLD
BIOL
SNTA
CECO
QLTY
SUNE
HPJ
JDSU
NCT
DVAX
MITK
BID
TWI
HLTOY
CLDX
HTZ
BEE
MEA
EDAP
ASGN
NEWP
TGB
TPLM
CX
MTOR
FSL
IRE
GOL
DAN
HERO
DRYS
STX
CETV
FCE/A
SANM
QTM
STAR
GLUU
FRO
RCON
HOV
HW
BEL
CYTX
OREX
WUBA
CTCM
CHMT
HUN
ROYL
THLD
PERI
GRH
SGI
SNSS
CRIS
CBAK
HMPR
KOG
NVTL
WRES
HDY
GFA
GEOS
PSUN
ATLS
TIVO
FXEN
LAMR
LZB
WG
BSPM
APRI
AIG
CREG
MT
UQM
MBI
EMKR
JE
EXEL
IPHI
UCTT
PES
ROC
AMTX
YNDX
CENX
JRN
LAD
CIE
WLK
MAN
ETFC
BDSI
ALU
ECYT
JNS
AGO
ZGNX
CBR
MGM
ACCO
KND
ZINC
BKD
BYD
NBR
ANIP
DDD
CLF
NOAH
BXMT
MPEL
NTGR
VSH
YGE
KEG
LSCC
HEES
TPC
NOR
ETRM
TRN
ARC
GIII
PEI
URG
TTI
LPX
WLT
AIMC
AXAS
CIEN
ETH
MTRN
HILL
FIG
HF
LXRX
OSK
FCS
OPTT
FMCKJ
ANR
MOD
GGP
MWA
NHYDY
OI
EJ
TTM
EDN
WLB
RF
CNHI
IPG
FR
TCK
XPO
SMT
SIGA
SPF
DSCO
AMKR
AKS
IMOS
CVO
IITSF
BLDR
ATI
FCX
FNSR
IVZ
TNK
ANF
MEET
CG
QUIK
ZUMZ
DHX
TWER
CERS
BX
ZIOP
NG
SNV
TRGT
LNGLF
OXGN
AEG
KIRK
NAV
SBRCY
HOLI
ENZ
HOT
SCLN
CBG
RHP
GPOR
POZN
ACW
SFUN
TRW
AMCF
HLIT
MS
CPE
WFT
FWLT
ENTR
CBK
RVBD
TRQ
PDS
PNK
WCC
OIS
CRZO
ALR
ING
MDR
MTRX
SGMO
CBL
X
WLL
HIG
BCRX
IMGN
WDR
ACHN
IDTI
FSYS
BLDP
FBR
NBG
JOY
SGLRF
OZM
WBC
REMY
TBI
KFY
ROSE
CQB
KRA
AREX
TREX
PBH
LNC
OAS
KBH
VC
MNTX
SCHN
NM
MNTA
GHL
ATML
DIOD
ISNPY
THC
PEIX
GSM
PACW
PHM
TQNT
SPPI
GNW
PVTB
VHC
NOV
POL
SSP
BPZ
ARRY
TKR
MHO
VRTU
SOHU
CZZ
OME
FLS
WAVX
TEN
DNR
ACI
AGCO
RLD
BIDU
MAS
EXAM
APC
IRF
C
CLUB
CIDM
ZAGG
LAZ
UTSI
QEP
AIR
ALGN
FTK
GTLS
BBCN
TAST
CBS
WTI
TSO
LXU
SINA
GY
JNPR
AZSEY
NSIT
FSLR
MTTRY
CAMT
HSC
MHGC
UFS
MET
HOS
GES
BCS
BP
BBY
HST
CBT
LVS
PLM
TER
ARO
ADSK
BFCF
PWRD
RUSHA
GAME
YZC
HZO
ATEC
IMAX
BDC
PEGA
PIR
PLXS
PXLW
RS
KELYA
MELI
IBOC
HIMX
CLGX
THO
GERN
AYR
JBL
ONCY
BSQR
KFRC
CYTR
RFP
ITRI
ARW
DB
RBS
CBI
JCP
PTC
GTAT
VNDA
AEGN
PCLN
PERY
STNG
CTXS
ALLT
TPX
BFR
ARCB
TIF
VDSI
TGA
ESI
JLL
ABEV
ASML
CNO
LEE
FRM
UEC
KMX
DOW
SCOR
AAWW
SPRT
SYNA
NOKBF
ICA
RIG
FIX
SHO
HTCH
INFN
PUK
AMZG
SPW
CLNE
IBN
RIO
FFIV
VE
HLS
CE
SCSS
AAV
SNCR
HLX
AGEN
CNX
NOK
SVU
IPGP
RDWR
SDRL
DBOEY
RRD
TAL
PCO
PBY
GFF
EMN
STLD
AMRI
AMG
CRH
MU
DRH
PAG
NTCT
MLU
EXH
BTU
CYT
GDP
AA
CFX
PFG
HHC
XXIA
MFC
WNR
NVDA
AOI
TGE
CTB
THRX
LHO
IPI
CAS
AER
PBR
AGU
SAH
LUK
OC
OMEX
FOSL
BBVA
B
DDR
PL
SBGI
BRKS
EBIX
PBR/A
PRSS
KRO
DDS
EPAY
ABMD
THRM
CY
HAR
SFY
CCIH
KMT
SU
TC
SPN
PLNR
ATW
SBS
LINTA
CMI
MINI
FNMAS
SPWR
OGZPY
GLW
GPK
HIL
BBL
NRF
IRBT
CPST
IMMR
SID
TS
END
HT
WOR
CONN
LULU
AXE
UMPQ
PKD
TTGT
STM
FLEX
ONNN
LL
TX
EWBC
IQNT
RDNT
A
ITUB
FBHS
HES
BBD
BAC
MGI
SIVB
FTNT
FHN
NTWK
TESO
DAR
QLIK
WYNN
RMBS
CRS
KOPN
ZION
MSCC
MNI
TOWR
SONC
LYG
PVH
VLO
CGI
OSUR
ENS
OVTI
NUS
MOVE
PRGS
GPL
PDCE
PTX
STI
ABG
LF
GGB
PLAB
PRU
TNTEY
XEC
GLF
FNMAT
MDCA
GRA
MPET
SGMS
PCAR
CMC
AEL
IOC
SAN
NABZY
CUR
ALB
MOH
JCI
NKRSF
GTE
ROVI
RDC
ALV
OII
ETN
SWIR
JRJC
BCO
WEX
PSDV
MEOH
KKR
KLIC
GCI
SHOR
EXP
LLNW
AHT
STEM
BAK
SLB
CYH
HAL
SCOK
SF
MHR
R
TDW
TSRA
BHP
LRN
ANN
RTEC
MDC
CTCT
HALO
EXXI
VICL
PKY
AHS
AHC
RT
CAT
SPLK
HSNI
BEN
ELY
WTS
AMAT
RRGB
FLR
CCJ
SEMG
SIG
CHS
SSD
ALNY
FORM
MPAA
SONS
JPM
IRWD
TEL
EV
BSBR
APL
HL
CNW
INFA
SMCI
PH
TCEHY
KLAC
XRX
RDSMY
LVLT
UNT
ACET
LEN
IGTE
FMBI
RECN
CLR
PWE
EVR
TRMB
KAR
AYI
VECO
GRT
TLM
CF
SIRI
AEIS
CS
AVT
SIMG
BGC
SCHW
CDR
PVA
NTAP
MBFI
ESL
CALX
WIT
CDTI
PLD
VMC
AFL
BHI
RPXC
PQ
MGAM
SWK
WCG
KS
CXO
RFMD
WWD
PNFP
GBCI
NR
AVNW
MHK
PTEN
HOG
JOE
STT
SWKS
NURO
ISIL
NOG
ACM
CREE
MNDO
WPRT
OXY
UBS
MOG/A
DK
CYNO
PLT
KWK
BEAV
IWSY
WSM
MRGE
WYN
MIC
TIBX
NDSN
MUR
PGH
MED
SUSQ
MMYT
VALE
SNX
AMCC
ORB
TILE
TTWO
BYI
FMER
TEF
SLG
Z
WHR
KCAP
CATY
RYL
JEC
GTI
ARIA
CNQ
MPWR
ALJ
AFOP
HLF
CAVM
MXWL
CVI
BWA
REN
MRO
HMN
MKSI
SPLS
CYTK
ELX
HPQ
GPI
GE
GMAN
ACXM
GV
DRQ
IP
WILN
AL
WY
EXTR
NE
CVBF
ESV
NYT
GPRE
RP
CR
SCON
FNGN
CDNS
DOV
MOS
MOV
LPSN
SCCO
PJC
RKT
OWW
DXPE
AVID
MVIS
INSY
TSYS
AMP
FUL
WBS
ORKLY
DHI
CLS
DHT
GTIV
EFII
FEIC
EEFT
OMC
HA
IIVI
PDFS
APA
VG
BLK
ANAC
BDN
PBI
MON
RGSE
LIOX
CRAY
QTWW
ARQL
E
DD
PGNX
EXPR
AOD
APTS
SNE
PXD
KSU
NFG
AMTD
DEPO
PLUG
MWV
CAB
POWI
CNET
HRC
TTMI
ICON
BGCP
WAB
GASS
MNKD
RJET
WDC
PLL
LGND
NES
RPM
PHG
MMAB
AUO
PIP
TOT
BRC
SSRI
VALE/P
ABB
FOLD
UMC
CORT
SFLY
FRC
ONB
DRWI
OIIM
NKTR
IEX
EME
WTW
LM
BGG
VIP
DSX
VTG
BKS
BHE
SPR
GORO
CNTF
WIBC
AWI
KEY
RPT
CSC
DRE
ROK
SKYW
TSEM
SAIA
CP
IR
TOL
TRX
PRIM
EGY
LXP
MAR
YPF
HP
VRNG
VVUS
NUE
NWL
APH
TEU
AVY
ITT
WAG
UNM
DV
PCRX
TRS
ASNA
OLN
CCL
MCO
AAN
BITA
ATU
CAM
HVT
DLX
AVP
AMWD
FDX
NFX
KBR
CRK
UHS
ININ
UEIC
QLGC
VIMC
ERF
SSL
SJMHF
CDE
HOLX
RDEN
WPP
STO
STL
BAS
IVC
CSX
SNDK
VIVO
CA
CSL
ORCL
ONE
RBC
WAFD
DRRX
SHOO
ARUN
CYN
INFY
UVV
ASH
MSCI
CTRP
RHI
TMUS
TROW
GPS
EMR
RJF
KIM
CNMD
ACOR
AWP
ACAS
NSR
MEIP
NTLS
DVN
STJ
PZE
XCO
BRS
CRR
GGAL
LRCX
SGEN
BTE
RVT
LUX
ZBRA
LXK
CIT
UTHR
MCGC
NBL
N
HDB
JWN
PETS
XLNX
CTSH
AEZS
MTH
MIDD
DSCI
PII
GWR
AB
BXS
GLDD
BEAT
IXYS
CSCO
SM
AVX
HON
RTI
UTIW
SEE
MLNK
RLJ
BK
ISIS
STKL
HPT
CSU
LECO
H
DRIV
CALD
EGN
CRY
RL
EOG
DAKT
MEI
VPRT
GCA
CGNX
ECOL
BCX
XIN
RQI
RIGL
DO
AMSC
XL
RSYS
FTI
INXN
LTM
COWN
IGT
WAL
NMM
BCF
CSOD
DE
HRS
GPT
TRMK
LEA
SLF
ADS
AF
PMCS
SVM
COSWF
VRA
PKX
TRAK
EMC
SNMX
CHK
HUB/B
APO
ERJ
SIX
RAX
TTEC
WU
MBT
MW
XRAY
KRG
LHCG
MAC
DDC
EDU
FITB
SODA
ALTR
MRCY
BLKB
NUAN
SIRO
AINV
EXAS
ADBE
CW
NCI
CCRN
CMCSA
HNI
OCR
SBLK
BMA
FII
TCO
DENN
RGEN
RY
NPO
LNN
BECN
HELE
BRKR
ABR
CMA
INGR
COHR
TTEK
ETG
ASBC
JAH
SFTBY
MLM
ADVS
SAP
TEO
GRO
SSYS
SSNC
FLT
SATS
MYL
BIO
USA
TGH
SB
CBB
RXN
COP
PAM
WWWW
TXN
CEB
LLTC
LII
INCY
FELE
SIGI
PNR
PGTI
MLHR
FSS
SLXP
MTZ
KMPR
ALXA
RMTI
RDS/A
PB
ITW
NILE
CDZI
VSAT
NAT
URS
MENT
LFL
CMRE
SNA
AOS
APD
VMI
IEP
COF
TWTC
EOX
SPIL
BIIB
PRSC
ST
RUTH
LRAD
DISCA
CSGP
TGS
NICE
LYV
NVAX
SMTC
ASX
FOX
CLD
SSI
ACN
FSP
ECR
SCI
IPHS
RDS/B
MDRX
GSJK
SZMK
ADTN
GCO
CACI
ADI
UEPS
TV
CPLP
IMO
BBRY
ENDP
CPRX
PMC
FOXA
AXP
TNP
GLNG
PTRY
KTOS
REG
CPWR
IPXL
DKS
AME
SLM
CMCSK
GME
BEBE
CUZ
AGRO
FULT
TUP
MCRL
WMB
LGCY
NDAQ
POWR
UNTD
DBD
CHSP
KRC
CSTE
FL
TCB
QCOM
WRI
GOOGL
CPA
PPHM
MATX
LOGI
LB
LPLA
GMT
FCF
OFG
ENLK
SFL
DYAX
SQM
HIBB
PDRDY
RGA
LBTYA
REX
DY
CUBE
DHR
VMW
FMC
LOW
ODFL
CBD
KEP
CVE
INN
SEIC
GOOG
CHW
ORAN
ESRX
GDV
CTIC
MCHX
EXPD
PHH
DISCK
MX
PPG
UTX
ONTY
WYY
WHX
LEG
MDAS
GD
PKT
SWHC
TGI
EROC
ALK
NUVA
TECD
GGN
TSS
BA
SFG
AMCX
CNC
GIL
PAY
ATHX
NBS
STE
RSO
HSBC
TRGP
TMK
TWX
VRNT
GRMN
FFBC
MDP
BKE
UVE
KFX
CRNT
NATI
VIAB
UAL
CME
TDS
HI
COH
TMH
BANC
KGFHY
MCRS
LLL
BBG
PFS
EZPW
PKG
FRAN
HBIO
SYA
AES
YHOO
WX
BBT
VNO
NSC
ALKS
SAPE
TK
BRCM
ISCA
PNC
MR
CEO
LBTYK
BNS
GAB
XCRA
EVT
MDT
MANT
DFS
PNNT
DCA
BOE
CNVR
TBBK
SUTNY
DORM
CCMP
NPBC
MITEF
DCT
GLT
MCHP
WFC
PENN
OZRK
MSM
SXT
BSAC
HBAN
BSX
MXIM
IDCC
SLW
ASTM
TYC
ARE
LUV
EL
WOOF
SUI
HIW
BTX
MDCO
GALE
PLCM
IFON
CWCO
BPFH
GPN
LCI
SNI
RGC
GB
TSPT
NOC
BDBD
CCOI
MMM
DEI
RHT
INFI
HFC
ARCC
AVNR
BGY
ARRS
AEGR
EQY
EQIX
BR
TKF
LPT
TD
HGR
CELG
AHCHF
OMER
PEB
MGA
BCA
FAST
UTEK
UNIS
DISH
GNTX
AKAM
MCF
FB
CVX
TSM
ELGX
BMO
STZ
COV
KNL
EBS
NCV
BRFS
HNNMY
HBI
WEN
UPIP
NCR
DCOM
FICO
CSQ
VNET
CODE
AIV
RBA
ECA
CAMP
ICAD
CRM
BAH
DTEGY
ORBC
HXL
WWW
NTRS
SCS
GURE
NVO
EXR
RCII
AET
BT
RBCN
FNFG
SPNC
ACIW
KOS
HNT
BLT
EXK
TSCO
PT
L
IGR
PCRFY
TDY
ERIC
FLDM
UPL
AXU
MANH
ATHN
SEM
HBHC
DSW
RFI
CM
DST
AIRM
HRB
GSIT
NMR
NRP
HTGC
SWI
HD
ARMH
TCBI
BOFI
ITG
AEO
ATVI
ELP
OKE
PAAS
HCBK
DCI
FRME
GFIG
BWS
DRC
MYGN
INT
CVG
UNP
SWY
JBHT
EXG
AVEO
OFC
URBN
DNB
CMPGY
UTF
PCP
DF
AMSG
NYCB
DOM
